versao,dia,mercado,janela,barra,rotulo,r_exf,r_net,atr_pct,risco_pct
mean_reversion v10,2026-06-29,XRPUSDT,J1,2026-06-29T22:45:00Z,BTC_BEAR,-0.683104,,0.01076746802197502132520772797,0.016978
mean_reversion v10,2026-06-29,SOLUSDT,J1,2026-06-29T22:45:00Z,BTC_BEAR,-0.461488,,0.01576145511331331916716413063,0.024161
mean_reversion v10,2026-06-29,SUIUSDT,J1,2026-06-29T23:15:00Z,BTC_BEAR,-0.523356,,0.01186404932501365819533220694,0.018525
mean_reversion v10,2026-06-29,DOGEUSDT,J1,2026-06-29T23:15:00Z,BTC_BEAR,-1.085624,,0.01065171201198952168115516683,0.016159
mean_reversion v10,2026-06-29,ETHUSDT,J1,2026-06-29T23:45:00Z,BTC_BEAR,-0.916000,,0.01046332879732041177519550758,0.016901
mean_reversion v10,2026-06-29,ARBUSDT,J1,2026-06-29T23:45:00Z,BTC_BEAR,-0.394708,,0.01460400651017426264130906344,0.023532
mean_reversion v10,2026-06-30,NEARUSDT,J1,2026-06-30T00:45:00Z,BTC_BEAR,0.392970,,0.01661150890268792460035137412,0.025324
mean_reversion v10,2026-06-30,ZECUSDT,J1,2026-06-30T01:30:00Z,BTC_BEAR,-0.289685,,0.01774016083703650899507156206,0.027229
mean_reversion v10,2026-06-30,DASHUSDT,J1,2026-06-30T12:45:00Z,BTC_BEAR,0.257430,,0.01189104963573144753512024188,0.018392
mean_reversion v10,2026-06-30,SUIUSDT,J1,2026-06-30T21:30:00Z,BTC_BEAR,-1.081389,,0.01015353825191652270867525866,0.016990
mean_reversion v10,2026-07-01,DOGEUSDT,J1,2026-07-01T01:00:00Z,BTC_BEAR,-1.093307,,0.009409426398941665444420592232,0.014843
mean_reversion v10,2026-07-01,DOGEUSDT,J1,2026-07-01T01:30:00Z,BTC_BEAR,0.663132,,0.009409426398941665444420592232,0.016183
mean_reversion v10,2026-07-01,SOLUSDT,J1,2026-07-01T01:30:00Z,BTC_BEAR,1.089302,,0.009392168956379832606728090492,0.016228
mean_reversion v10,2026-07-01,ETHUSDT,J1,2026-07-01T06:45:00Z,BTC_BEAR,-0.290491,,0.008430509466381098499452599608,0.012879
mean_reversion v10,2026-07-01,UNIUSDT,J1,2026-07-01T06:45:00Z,BTC_BEAR,-1.086919,,0.0110495777929584729822784006,0.015921
mean_reversion v10,2026-07-01,XRPUSDT,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.309071,,0.008242036361959254108589776999,0.012671
mean_reversion v10,2026-07-01,SUIUSDT,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.085333,,0.01195321071160213243170901327,0.018378
mean_reversion v10,2026-07-01,ZECUSDT,J1,2026-07-01T07:00:00Z,BTC_BEAR,-0.410960,,0.01758960823371158081239031397,0.026187
